idacr;leader;plad_id;archigos_id;startdate;enddate;startyear;endyear;adm0;adm1;adm2;country;continent;latitude;longitude;geoname;geo_precision;foreign_leader;ethnicity1;ethnicity2;ethnicity_geoepr1;ethnicity_geoepr2;ethnicitysource1;ethnicitysource2;ethnicity_precision;entry;exit;gender;yrborn;birthdate;uid;id_0;id_1;id_2;gid_0;gid_1;gid_2;edu_name;edu_r;birthplace_comment;ethnicity_comment
AFG;Najibullah;AFG_1986_1;8243611b-1e42-11e4-b4cd-db5882bf8def;04may1986;16apr1992;1986;1992;Afghanistan;Paktya;Gardez;Afghanistan;Asia;34;69;Gardez;1;0;Pashtun;.;Pashtuns;.;https://www.washingtonpost.com/archive/politics/1986/05/13/afghan-leader-had-scrappy-partisan-past/ea703575-37d4-4524-972b-2ba9206c4e30/??noredirect=on;https://dailytimes.com.pk/103139/dr-mohammed-najibullah-the-afghan-prometheus/;2;Irregular;Irregular;M;1947;06aug1947;184964;1;26;262;AFG;AFG.26_1;AFG.26.4_1;.;8;.;.
AFG;Mojadidi;AFG_1992_1;8243611c-1e42-11e4-b4cd-db5882bf8def;28apr1992;28jun1992;1992;1992;Afghanistan;Kabul;Kabul City;Afghanistan;Asia;35;69;Kabul;1;0;Pashtun;.;Pashtuns;.;http://www.afghan-bios.info/index.php?option=com_afghanbios&id=1085&task=view&total=2314&start=1266&Itemid=2;.;2;Irregular;Regular;M;1926;.;184611;1;14;144;AFG;AFG.14_1;AFG.14.6_1;Degree in arabic and islamic law;6;.;.
AFG;Burhanuddin Rabbani;AFG_1992_2;8243611d-1e42-11e4-b4cd-db5882bf8def;28jun1992;27sep1996;1992;1996;Afghanistan;Badakhshan;.;Afghanistan;Asia;37;71;Badakshan Province;4;0;Tajik;.;Tajiks;.;https://www.theguardian.com/world/2011/sep/21/burhanuddin-rabbani-obituary;https://www.bbc.com/news/world-south-asia-14992229;1;Regular;Irregular;M;1939;.;.;1;1;.;AFG;AFG.1_1;AFG.1.5_1;.;7;.;.
AFG;Mullah Omar;AFG_1996_1;8243611e-1e42-11e4-b4cd-db5882bf8def;27sep1996;13nov2001;1996;2001;Afghanistan;Kandahar;Khakrez;Afghanistan;Asia;32;66;in the village of Chah-e Himmat,;3;0;Pashtun;.;Pashtuns;.;https://www.britannica.com/biography/Mohammad-Omar;https://www.washingtonpost.com/world/mullah-mohammad-omar-taliban-leader-said-to-have-died-in-2013/2015/07/29/1dd546bc-3606-11e5-9d0f-7865a67390ee_story.html;1;Irregular;Irregular;M;1959;.;185456;1;15;158;AFG;AFG.15_1;AFG.15.6_1;.;1;.;.
AFG;Hamid Karzai;AFG_2001_1;8243611f-1e42-11e4-b4cd-db5882bf8def;22dec2001;29sep2014;2001;2014;Afghanistan;Kandahar;Kandahar City;Afghanistan;Asia;32;66;Karz;1;0;Pashtun;.;Pashtuns;.;https://www.bbc.com/news/world-south-asia-14141232;http://www.afghan-bios.info/index.php?option=com_afghanbios&id=846&task=view&total=5&start=2&Itemid=14;2;Foreign Imposition;Regular;M;1957;24dec1957;185590;1;15;157;AFG;AFG.15_1;AFG.15.5_1;.;7;.;.
AFG;Ashraf Ghani Ahmadzai;AFG_2014_1;14a038b0-aae0-11e4-b3bc-29f2fa19767e;29sep2014;31dec2020;2014;2020;Afghanistan;Kabul;Khaki Jabar;Afghanistan;Asia;34;69;Malang;1;0;Pashtun;.;Pashtuns;.;http://enacademic.com/dic.nsf/enwiki/2584607;https://www.spokeo.com/Ahmad-Ahmadzai;2;Regular;Still in Office;M;1949;19may1949;184674;1;14;146;AFG;AFG.14_1;AFG.14.8_1;PhD in anthropology;8;.;.
ALB;Alia;ALB_1985_1;821a8f09-1e42-11e4-b4cd-db5882bf8def;13apr1985;03apr1992;1985;1992;Albania;Shkodër;Shkodrës;Albania;Europe;42;20;Shkodër;1;0;Albanian;.;Albanians;.;https://www.nytimes.com/2011/10/08/world/europe/ramiz-alia-former-ruler-of-albania-dies-at-85.html;https://www.britannica.com/biography/Ramiz-Alia;2;Regular;Regular;M;1925;18oct1925;108402;4;10;32;ALB;ALB.10_1;ALB.10.3_1;.;5;.;.
ALB;Berisha;ALB_1992_1;35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7;09apr1992;24jul1997;1992;1997;Albania;Kukës;Tropojës;Albania;Europe;42;20;Viçidol;1;0;Albanian;.;Albanians;.;http://president.al/en/prof-dr-sali-berisha/;https://www.thefamouspeople.com/profiles/sali-berisha-6882.php;2;Regular;Regular;M;1944;15oct1944;106502;4;8;25;ALB;ALB.8_1;ALB.8.3_1;PhD in medicine;8;.;.
ALB;Fatos Nano;ALB_1997_1;821abfda-1e42-11e4-b4cd-db5882bf8def;24jul1997;02oct1998;1997;1998;Albania;Tiranë;Tiranës;Albania;Europe;41;20;Tirana;1;0;Albanian;.;Albanians;.;https://en.wikipedia.org/wiki/Fatos_Nano;https://www.thefamouspeople.com/profiles/fatos-nano-6872.php;2;Regular;Regular;M;1952;16sep1952;112142;4;11;34;ALB;ALB.11_1;ALB.11.2_1;PhD in political economy;8;.;.
ALB;Majko;ALB_1998_1;821abfdb-1e42-11e4-b4cd-db5882bf8def;02oct1998;29oct1999;1998;1999;Albania;Tiranë;Tiranës;Albania;Europe;41;20;Tirana;1;0;Albanian;.;Albanians;.;https://en.wikipedia.org/wiki/Pandeli_Majko;https://www.sbs.com.au/yourlanguage/albanian/en/audiotrack/mr-pandeli-majko-his-first-visit-australia;2;Regular;Regular;M;1967;15nov1967;112142;4;11;34;ALB;ALB.11_1;ALB.11.2_1;Degrees in engineering and law;7;.;.
