Date,Open,High,Low,Close
05/30/2006,"1259.84","1280.04","1259.84","1259.84"
05/29/2006,"1259.84","1280.04","1259.84","1280.16"
05/28/2006,"1259.84","1280.04","1259.84","1280.16"
05/27/2006,"1259.84","1280.04","1259.84","1280.16"
05/26/2006,"1280.16","1280.54","1272.50","1280.16"
05/25/2006,"1272.88","1273.26","1258.41","1272.88"
05/24/2006,"1258.57","1264.53","1245.34","1258.57"
05/23/2006,"1256.58","1273.67","1256.15","1256.58"
05/22/2006,"1262.07","1268.77","1252.98","1262.07"
05/21/2006,"1267.03","1272.15","1256.28","1267.03"
05/20/2006,"1267.03","1272.15","1256.28","1267.03"
05/19/2006,"1267.03","1272.15","1256.28","1267.03"
05/18/2006,"1261.81","1274.89","1261.75","1261.81"
05/17/2006,"1270.32","1291.73","1267.31","1270.32"
05/16/2006,"1292.08","1297.88","1288.51","1292.08"
05/15/2006,"1294.50","1294.81","1284.51","1294.50"
05/14/2006,"1291.24","1305.88","1290.38","1291.24"
05/13/2006,"1291.24","1305.88","1290.38","1291.24"
05/12/2006,"1291.24","1305.88","1290.38","1291.24"
05/11/2006,"1305.92","1322.63","1303.45","1305.92"
05/10/2006,"1322.85","1325.51","1317.44","1322.85"
05/09/2006,"1325.14","1326.60","1322.48","1325.14"
05/08/2006,"1324.66","1326.70","1322.87","1324.66"
05/07/2006,"1325.76","1326.53","1312.25","1325.76"
05/06/2006,"1325.76","1326.53","1312.25","1325.76"
05/05/2006,"1325.76","1326.53","1312.25","1325.76"
05/04/2006,"1312.25","1315.14","1307.85","1312.25"
05/03/2006,"1307.85","1313.47","1303.92","1307.85"
05/02/2006,"1313.21","1313.66","1305.16","1313.21"
05/01/2006,"1305.19","1317.21","1303.46","1305.19"
04/30/2006,"1310.61","1316.04","1306.16","1310.61"
04/29/2006,"1310.61","1316.04","1306.16","1310.61"
04/28/2006,"1310.61","1316.04","1306.16","1310.61"
04/27/2006,"1309.72","1315.00","1295.57","1309.72"
04/26/2006,"1305.41","1310.97","1301.74","1305.41"
04/25/2006,"1301.74","1310.79","1299.17","1301.74"
04/24/2006,"1308.11","1311.28","1303.79","1308.11"
04/23/2006,"1311.28","1317.67","1306.59","1311.28"
04/22/2006,"1311.28","1317.67","1306.59","1311.28"
04/21/2006,"1311.28","1317.67","1306.59","1311.28"
04/20/2006,"1311.46","1318.16","1306.38","1311.46"
04/19/2006,"1309.93","1310.39","1302.79","1309.93"
04/18/2006,"1307.65","1309.02","1285.33","1307.65"
04/17/2006,"1285.33","1292.45","1280.74","1285.33"
04/16/2006,"1289.12","1292.09","1283.37","1289.12"
04/15/2006,"1289.12","1292.09","1283.37","1289.12"
04/14/2006,"1289.12","1292.09","1283.37","1289.12"
04/13/2006,"1289.12","1292.09","1283.37","1289.12"
04/12/2006,"1288.12","1290.93","1286.45","1288.12"
04/11/2006,"1286.57","1300.71","1282.96","1286.57"
04/10/2006,"1296.60","1300.74","1293.17","1296.60"
04/09/2006,"1295.50","1314.07","1294.18","1295.50"
04/08/2006,"1295.50","1314.07","1294.18","1295.50"
04/07/2006,"1295.50","1314.07","1294.18","1295.50"
04/06/2006,"1309.04","1311.99","1302.44","1309.04"
04/05/2006,"1311.56","1312.81","1304.82","1311.56"
04/04/2006,"1305.93","1307.55","1294.71","1305.93"
04/03/2006,"1297.81","1309.19","1296.65","1297.81"
03/02/2006,"1294.83","1303.00","1294.83","1294.83"
03/01/2006,"1294.83","1303.00","1294.83","1294.83"
03/31/2006,"1294.83","1303.00","1294.83","1294.83"
03/30/2006,"1300.25","1310.15","1296.72","1300.25"
03/29/2006,"1302.89","1305.60","1293.23","1302.89"
03/28/2006,"1293.23","1306.24","1291.84","1293.23"
03/27/2006,"1301.61","1303.74","1299.09","1301.61"
03/26/2006,"1302.95","1306.53","1298.89","1302.95"
03/25/2006,"1302.95","1306.53","1298.89","1302.95"
03/24/2006,"1302.95","1306.53","1298.89","1302.95"
03/23/2006,"1301.67","1305.04","1298.11","1301.67"
03/22/2006,"1305.04","1305.97","1295.81","1305.04"
03/21/2006,"1297.23","1310.88","1295.82","1297.23"
03/20/2006,"1305.08","1310.00","1303.59","1305.08"
03/19/2006,"1307.25","1309.79","1305.32","1307.25"
03/18/2006,"1307.25","1309.79","1305.32","1307.25"
03/17/2006,"1307.25","1309.79","1305.32","1307.25"
03/16/2006,"1305.33","1310.45","1303.02","1305.33"
03/15/2006,"1303.02","1304.40","1294.97","1303.02"
03/14/2006,"1297.48","1298.14","1282.67","1297.48"
03/13/2006,"1284.13","1287.37","1281.58","1284.13"
03/12/2006,"1281.58","1284.37","1271.11","1281.58"
03/11/2006,"1281.58","1284.37","1271.11","1281.58"
03/10/2006,"1281.58","1284.37","1271.11","1281.58"
03/09/2006,"1272.23","1282.74","1272.23","1272.23"
03/08/2006,"1278.47","1280.33","1268.42","1278.47"
03/07/2006,"1275.88","1278.26","1271.11","1275.88"
03/06/2006,"1278.26","1288.23","1275.67","1278.26"
03/05/2006,"1287.23","1297.33","1284.20","1287.23"
03/04/2006,"1287.23","1297.33","1284.20","1287.23"
03/03/2006,"1287.23","1297.33","1284.20","1287.23"
03/02/2006,"1289.14","1291.24","1283.21","1289.14"
03/01/2006,"1291.24","1291.80","1280.66","1291.24"
02/28/2006,"1280.66","1294.12","1278.12","1280.66"
